"","package","missing","rep","oob_err"
"1","mi",0.1,1,0.251908396946565
"2","mice",0.1,1,0.246882793017456
"3","missForest",0.1,1,0.209677419354839
"4","DNN",0.1,1,0.141439205955335
"5","mi",0.2,1,0.232620320855615
"6","mice",0.2,1,0.23841961852861
"7","missForest",0.2,1,0.145275035260931
"8","DNN",0.2,1,0.148965517241379
"9","mi",0.3,1,0.222018348623853
"10","mice",0.3,1,0.229014598540146
"11","missForest",0.3,1,0.136242208370436
"12","DNN",0.3,1,0.173568281938326
"13","mi",0.4,1,0.217939733707078
"14","mice",0.4,1,0.240905971173644
"15","missForest",0.4,1,0.157642220699109
"16","DNN",0.4,1,0.148198504418763
"17","mi",0.5,1,0.201870187018702
"18","mice",0.5,1,0.227199136535348
"19","missForest",0.5,1,0.176691729323308
"20","DNN",0.5,1,0.170386499727817
"21","mi",0.1,2,0.231770833333333
"22","mice",0.1,2,0.256997455470738
"23","missForest",0.1,2,0.1571072319202
"24","DNN",0.1,2,0.178010471204188
"25","mi",0.2,2,0.213389121338912
"26","mice",0.2,2,0.246088193456615
"27","missForest",0.2,2,0.152173913043478
"28","DNN",0.2,2,0.158485273492286
"29","mi",0.3,2,0.215919487648673
"30","mice",0.3,2,0.23433242506812
"31","missForest",0.3,2,0.168401135288552
"32","DNN",0.3,2,0.158181818181818
"33","mi",0.4,2,0.238775510204082
"34","mice",0.4,2,0.224209078404402
"35","missForest",0.4,2,0.168707482993197
"36","DNN",0.4,2,0.159804605722261
"37","mi",0.5,2,0.2272
"38","mice",0.5,2,0.20855614973262
"39","missForest",0.5,2,0.166576527852893
"40","DNN",0.5,2,0.147042864894194
"41","mi",0.1,3,0.223433242506812
"42","mice",0.1,3,0.253196930946292
"43","missForest",0.1,3,0.183561643835616
"44","DNN",0.1,3,0.1675
"45","mi",0.2,3,0.211360634081902
"46","mice",0.2,3,0.245751633986928
"47","missForest",0.2,3,0.177285318559557
"48","DNN",0.2,3,0.143638850889193
"49","mi",0.3,3,0.214971209213052
"50","mice",0.3,3,0.235124760076775
"51","missForest",0.3,3,0.166207529843893
"52","DNN",0.3,3,0.152173913043478
"53","mi",0.4,3,0.208248816768087
"54","mice",0.4,3,0.226515656229181
"55","missForest",0.4,3,0.14867762687634
"56","DNN",0.4,3,0.166666666666667
"57","mi",0.5,3,0.221116639027087
"58","mice",0.5,3,0.21614301191766
"59","missForest",0.5,3,0.165405405405405
"60","DNN",0.5,3,0.167022411953042
"61","mi",0.1,4,0.25062656641604
"62","mice",0.1,4,0.228813559322034
"63","missForest",0.1,4,0.134408602150538
"64","DNN",0.1,4,0.165816326530612
"65","mi",0.2,4,0.232488822652757
"66","mice",0.2,4,0.248010610079576
"67","missForest",0.2,4,0.166212534059946
"68","DNN",0.2,4,0.157824933687003
"69","mi",0.3,4,0.23769730733519
"70","mice",0.3,4,0.244748858447489
"71","missForest",0.3,4,0.15607476635514
"72","DNN",0.3,4,0.151921358355675
"73","mi",0.4,4,0.209851551956815
"74","mice",0.4,4,0.200566973777463
"75","missForest",0.4,4,0.15442690459849
"76","DNN",0.4,4,0.146137787056367
"77","mi",0.5,4,0.206419479800775
"78","mice",0.5,4,0.222933333333333
"79","missForest",0.5,4,0.149501661129568
"80","DNN",0.5,4,0.136094674556213
"81","mi",0.1,5,0.238482384823848
"82","mice",0.1,5,0.253263707571802
"83","missForest",0.1,5,0.16120218579235
"84","DNN",0.1,5,0.174386920980926
"85","mi",0.2,5,0.219478737997257
"86","mice",0.2,5,0.251768033946252
"87","missForest",0.2,5,0.167400881057269
"88","DNN",0.2,5,0.153954802259887
"89","mi",0.3,5,0.234653465346535
"90","mice",0.3,5,0.248633879781421
"91","missForest",0.3,5,0.150735294117647
"92","DNN",0.3,5,0.146057347670251
"93","mi",0.4,5,0.209876543209877
"94","mice",0.4,5,0.251851851851852
"95","missForest",0.4,5,0.160776160776161
"96","DNN",0.4,5,0.148793565683646
"97","mi",0.5,5,0.206974128233971
"98","mice",0.5,5,0.266447368421053
"99","missForest",0.5,5,0.166215484569572
"100","DNN",0.5,5,0.157303370786517
"101","mi",0.1,6,0.216748768472906
"102","mice",0.1,6,0.204663212435233
"103","missForest",0.1,6,0.16120218579235
"104","DNN",0.1,6,0.13550135501355
"105","mi",0.2,6,0.206989247311828
"106","mice",0.2,6,0.237359550561798
"107","missForest",0.2,6,0.171717171717172
"108","DNN",0.2,6,0.152112676056338
"109","mi",0.3,6,0.237196765498652
"110","mice",0.3,6,0.267485822306238
"111","missForest",0.3,6,0.164705882352941
"112","DNN",0.3,6,0.13436928702011
"113","mi",0.4,6,0.227118644067797
"114","mice",0.4,6,0.228230337078652
"115","missForest",0.4,6,0.165492957746479
"116","DNN",0.4,6,0.163338088445078
"117","mi",0.5,6,0.218024824608743
"118","mice",0.5,6,0.258333333333333
"119","missForest",0.5,6,0.155711206896552
"120","DNN",0.5,6,0.173588924387646
"121","mi",0.1,7,0.270422535211268
"122","mice",0.1,7,0.226775956284153
"123","missForest",0.1,7,0.170103092783505
"124","DNN",0.1,7,0.145161290322581
"125","mi",0.2,7,0.216073781291173
"126","mice",0.2,7,0.227397260273973
"127","missForest",0.2,7,0.15819209039548
"128","DNN",0.2,7,0.142659279778393
"129","mi",0.3,7,0.207258834765998
"130","mice",0.3,7,0.252497729336966
"131","missForest",0.3,7,0.163619744058501
"132","DNN",0.3,7,0.141414141414141
"133","mi",0.4,7,0.207386363636364
"134","mice",0.4,7,0.247252747252747
"135","missForest",0.4,7,0.170552964690207
"136","DNN",0.4,7,0.161744966442953
"137","mi",0.5,7,0.21875
"138","mice",0.5,7,0.222163308589608
"139","missForest",0.5,7,0.150974025974026
"140","DNN",0.5,7,0.150109170305677
"141","mi",0.1,8,0.241095890410959
"142","mice",0.1,8,0.240384615384615
"143","missForest",0.1,8,0.141210374639769
"144","DNN",0.1,8,0.167146974063401
"145","mi",0.2,8,0.233837689133425
"146","mice",0.2,8,0.256598240469208
"147","missForest",0.2,8,0.166216216216216
"148","DNN",0.2,8,0.174863387978142
"149","mi",0.3,8,0.230769230769231
"150","mice",0.3,8,0.231203007518797
"151","missForest",0.3,8,0.164370982552801
"152","DNN",0.3,8,0.161791590493601
"153","mi",0.4,8,0.210135135135135
"154","mice",0.4,8,0.23331039229181
"155","missForest",0.4,8,0.153740562800275
"156","DNN",0.4,8,0.141863699582754
"157","mi",0.5,8,0.218950749464668
"158","mice",0.5,8,0.231613611416026
"159","missForest",0.5,8,0.146407347379795
"160","DNN",0.5,8,0.165471594043023
"161","mi",0.1,9,0.220338983050847
"162","mice",0.1,9,0.231805929919137
"163","missForest",0.1,9,0.153452685421995
"164","DNN",0.1,9,0.148780487804878
"165","mi",0.2,9,0.236241610738255
"166","mice",0.2,9,0.228882833787466
"167","missForest",0.2,9,0.188920454545455
"168","DNN",0.2,9,0.168758716875872
"169","mi",0.3,9,0.220338983050847
"170","mice",0.3,9,0.240827845719661
"171","missForest",0.3,9,0.154275092936803
"172","DNN",0.3,9,0.15188679245283
"173","mi",0.4,9,0.2
"174","mice",0.4,9,0.212709030100334
"175","missForest",0.4,9,0.169514695830485
"176","DNN",0.4,9,0.14551724137931
"177","mi",0.5,9,0.199036918138042
"178","mice",0.5,9,0.265395095367847
"179","missForest",0.5,9,0.160413268080479
"180","DNN",0.5,9,0.156182212581345
"181","mi",0.1,10,0.209912536443149
"182","mice",0.1,10,0.26980198019802
"183","missForest",0.1,10,0.169312169312169
"184","DNN",0.1,10,0.148614609571788
"185","mi",0.2,10,0.232954545454545
"186","mice",0.2,10,0.238356164383562
"187","missForest",0.2,10,0.145833333333333
"188","DNN",0.2,10,0.154371584699454
"189","mi",0.3,10,0.231267345050879
"190","mice",0.3,10,0.281221091581869
"191","missForest",0.3,10,0.148955495004541
"192","DNN",0.3,10,0.162162162162162
"193","mi",0.4,10,0.212438853948288
"194","mice",0.4,10,0.219827586206897
"195","missForest",0.4,10,0.159359777313848
"196","DNN",0.4,10,0.146666666666667
"197","mi",0.5,10,0.236207820032137
"198","mice",0.5,10,0.220087815587267
"199","missForest",0.5,10,0.138784292630446
"200","DNN",0.5,10,0.161066666666667
